comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
mtls,avg_latency_ms,Average latency ms,1728,957.8142289136999,576.3060168103005,1116.6223181960816,-21.76277763894809,170.83029002023065,1379.3788126312133,8222.997076813586
mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1727,-0.5472603047901541,-0.07499947371393807,115.09542779851981,-95.7119233944934,-5.09812332828859,2.329349467233264,4714.106222806124
mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,28,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1727,20.68749490051242,8.18068276436303,80.93636271033706,-95.55626662400256,-10.176026500681218,34.17155685850949,1531.3777385678577
mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1727,3.3091600448374807,2.5537844670569543,15.73518215282897,-76.83337859139063,-7.0651113908103955,13.471347274569753,302.51390474285813
mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1727,37.05644721493377,27.92079683078886,45.924386475529566,-18.749982783902627,18.710181017089642,40.02121692752638,921.9783832552105
mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1727,2.4704474381083545,0.6392152593009592,4.617685109272763,-20.566594373433677,0.4548806718610192,2.041501968393511,100.90321716795249
mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,1726,-8.356334976862982,-7.803953207081438,21.214059545605558,-70.40121546339542,-25.296060005633866,5.872985777082079,72.72947836635663
mtls,broker_cpu_percent_mean,Broker CPU mean %,1726,-27.417441821229062,-31.872414065214663,30.71035716032996,-86.07757884822443,-50.683168174153515,-6.049760998711452,63.660934247781654
mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,726,13205.889730653838,-31.329453101713955,347741.9136501852,-100.0,-74.72146057001623,-0.7028526142582533,9374500.0
mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,726,13205.889730653838,-31.32945310171396,347741.9136501852,-100.0,-74.72146057001622,-0.7028526142582616,9374500.0
mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,1726,4.391199213692474,0.27293797701230216,30.12642209687416,-80.74083022514836,-3.381523838586088,5.038889814881036,297.19367826452736
mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,1726,4.481534421866275,0.27293797701230604,30.35782597820463,-80.74083022514836,-3.38152383858609,5.056183046230364,297.19367826452736
mtls,broker_memory_used_percent_mean,Broker memory %,1726,-0.8106092437011841,-0.2662774247119125,3.470226023240396,-46.19869961847966,-2.7536662214998944,1.0781853171623363,5.031157533392004
mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1726,1.8782530291697181,0.6631826444653279,3.588592228947367,-18.456986148750342,0.6130791456772421,1.5338312787517214,101.64008590671949
mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1726,1.9656882417713801,0.6635456400208719,5.083648542356909,-18.45698614875034,0.6130957861860626,1.5342816889387865,151.52196158411314
mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1726,2.039114190595701,0.8481827475350048,3.7616765472168034,-19.049349994277993,0.7614065761287289,1.553512357559091,102.0298416613603
mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1726,2.109465276927441,0.8486103819579656,4.440778951077128,-18.435208167145294,0.7614633388109949,1.5543252249645596,102.37662501430502
mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,1728,936.9103399911845,315.6399608320255,1565.3954862440721,-58.78039603271405,90.95873738405005,1143.2027099062645,11277.394136807818
mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1728,724.6874177610615,149.5508674821743,1145.7195605597972,-82.16071658411711,85.43425134708679,862.8926253384461,10788.682018618325
mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,1728,209.68614041845922,108.52804841690329,259.30089756192234,-71.89466523045523,70.89527969440267,250.8793266052938,3041.7113402061814
mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,1728,92.4165621449543,91.15541653830958,34.08682488200396,-72.18178509689747,76.78121565009808,106.0866323436804,268.7476013816044
mtls,max_latency_ms,Maximum latency ms,1728,91.79742033500463,88.03234047907566,35.65812401705821,-72.24409448818898,74.5428731598277,105.50464814706507,249.7730711043873
mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,1728,906.4677450825836,551.8835624419694,1084.435309412155,-21.76277763894809,165.25720916386535,1278.4074402285332,8594.298139647259
mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,1728,1035.7427428342705,609.6656255227673,1214.0970598101824,-21.76277763894809,175.52849527942695,1368.25525438297,9135.841546626232
mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1728,9.375301604574668,0.17099843758009603,14.299752700589975,-23.64891307070046,-0.0030052031699631665,17.45685706589905,55.70087701314004
mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1728,9.673763022458118,0.15858753937819484,14.38479996580029,-23.64891307070046,-0.017244663406155145,18.332489616921904,53.615550132760944
mtls,throughput_mb_per_sec,Throughput MB/s,1728,9.566746143291802,0.08212892218651106,14.33889818096958,-23.629893238434168,0.0,18.126307364217723,53.99673735725937
mtls,throughput_records_per_sec,Throughput records/s,1728,9.566265273487966,0.11941486889380859,14.340722549475188,-23.64891307070046,-0.010294896427745476,18.051537587373048,53.97574956233706
