compression_type,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
none,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,37.61148432877589,37.60475772357724,19.654670834349925,16.798277153558054,18.18203629032258,57.28189999999999,57.9202
none,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,48.09543514205819,47.74258615843031,19.779025855176844,27.66564516129032,28.4282201843672,67.73204581876456,69.5280985915493
none,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,12,47.31801226369023,47.32885923981725,20.63703087281351,25.79771653543307,26.68841427780512,67.86217702199255,69.1208280254777
lz4,mtls,broker_cpu_percent_mean,Broker CPU mean %,12,15.022471287400428,14.993400597143037,9.332366473022644,5.396487555738741,5.812612075819909,24.376985624439943,24.596388915032573
lz4,plaintext,broker_cpu_percent_mean,Broker CPU mean %,12,24.94404797806958,24.823937442801466,7.635470227378284,16.801545531762603,17.376600265276164,32.63412531606514,33.36255217930892
lz4,tls,broker_cpu_percent_mean,Broker CPU mean %,12,21.95461450726155,14.311496478909824,10.776044265237024,12.303344776822344,12.502128335548198,32.37694713962968,38.62908539018291
none,mtls,broker_cpu_percent_mean,Broker CPU mean %,12,15.266212110061657,15.161499824982473,9.366282675795016,5.704070511194252,5.981867870030391,24.595527091680573,24.878199610213965
none,plaintext,broker_cpu_percent_mean,Broker CPU mean %,12,25.846361185751586,28.03342145017205,7.2468495147894965,16.82923414880344,17.461324773505126,32.83464405174594,33.49067340177673
none,tls,broker_cpu_percent_mean,Broker CPU mean %,12,22.73036401916055,22.77085466541957,9.975784377936161,12.287528931923646,12.674754276245904,32.707973727206536,33.38408392490087
lz4,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,42.92466666666667,43.113,18.984435665975315,20.228,25.109,61.829499999999996,62.588
lz4,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,12,51.922166666666676,52.55,14.042407734153791,34.64,38.5215,65.37,68.576
lz4,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,48.50583333333333,47.311,16.17585345421447,30.516,32.9495,63.294,70.15
