batch_size,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
16384,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1960.5663773148146,611.15,2736.855324835388,6.91,190.765,3822.5475,11795.72
16384,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,911.8292129629631,71.91,1785.5348583322366,2.34,23.3025,1049.8825,9049.27
16384,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,2025.1131018518518,564.91,2847.783387834561,6.28,163.3325,3847.6549999999997,11985.65
131072,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1264.4943981481483,318.945,1923.6559691317016,6.04,106.8725,1712.825,11569.47
131072,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,55.44693287037036,32.56,64.97015821895076,3.05,10.692499999999999,73.045,396.73
131072,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1272.3263194444446,319.28999999999996,1923.2228213192477,5.52,100.0475,1752.2125,8797.87
16384,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2366.982372685185,772.63,3191.3195743701967,6.91,220.89249999999998,4158.362499999999,13083.29
16384,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,1078.6828935185185,104.44,1968.6447798563731,2.34,30.3575,1575.0475,9582.54
16384,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2408.936192129629,656.655,3279.9340071938527,6.28,194.02,4284.3,13959.67
131072,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,1737.620520833333,394.075,2598.7746997126824,6.04,117.54499999999999,2293.405,13905.85
131072,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,104.08811342592593,46.66,151.2524174241495,3.05,10.850000000000001,128.54749999999999,1059.28
131072,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,1730.6856828703703,398.445,2590.21888307766,5.52,112.7,2413.605,10933.14
16384,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6639.365706018517,5425.679999999998,6255.462407904187,9.919999999999876,522.43625,11926.777499999997,21468.6
16384,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,2621.602401620368,699.375,3532.436592262019,4.709999999999989,96.025,4835.945,12560.27
16384,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6667.342025462962,5768.969999999999,6251.176509074149,8.9099999999999,517.475,12054.575,20172.654999999995
131072,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6088.14356481481,4493.3525,5985.899200052022,8.299999999999908,309.29999999999995,9794.681250000001,31667.5
