"run_id","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","records_sent","throughput_records_per_sec","throughput_mb_per_sec","avg_latency_ms","max_latency_ms"
"20260415T134219Z-plaintext-default-message_size_bytes-1024-trial1","plaintext","plaintext-default","message-size-bytes","message_size_bytes","1024","1","3","3","6","3","100000","1024","1000","1","1","16384","5","all","100000","999.710084","0.98","5.91","527.0"
"20260415T134405Z-plaintext-default-message_size_bytes-1024-trial2","plaintext","plaintext-default","message-size-bytes","message_size_bytes","1024","2","3","3","6","3","100000","1024","1000","1","1","16384","5","all","100000","999.770053","0.98","6.36","589.0"
"20260415T134550Z-plaintext-default-message_size_bytes-1024-trial3","plaintext","plaintext-default","message-size-bytes","message_size_bytes","1024","3","3","3","6","3","100000","1024","1000","1","1","16384","5","all","100000","999.760058","0.98","5.84","522.0"
