producer_index=3
producer_count=6
producer_records=16667
producer_throughput=167
1 records sent, 0.1 records/sec (0.00 MB/sec), 9745.0 ms avg latency, 9745.0 ms max latency.
459 records sent, 91.2 records/sec (0.89 MB/sec), 5052.6 ms avg latency, 7068.0 ms max latency.
1298 records sent, 259.0 records/sec (2.53 MB/sec), 8378.0 ms avg latency, 9763.0 ms max latency.
1679 records sent, 335.7 records/sec (3.28 MB/sec), 6914.8 ms avg latency, 9824.0 ms max latency.
1555 records sent, 310.8 records/sec (3.04 MB/sec), 1565.6 ms avg latency, 4360.0 ms max latency.
839 records sent, 167.7 records/sec (1.64 MB/sec), 14.7 ms avg latency, 66.0 ms max latency.
835 records sent, 166.9 records/sec (1.63 MB/sec), 12.2 ms avg latency, 47.0 ms max latency.
837 records sent, 167.2 records/sec (1.63 MB/sec), 12.6 ms avg latency, 63.0 ms max latency.
833 records sent, 165.8 records/sec (1.62 MB/sec), 11.2 ms avg latency, 71.0 ms max latency.
842 records sent, 167.8 records/sec (1.64 MB/sec), 11.9 ms avg latency, 70.0 ms max latency.
835 records sent, 166.6 records/sec (1.63 MB/sec), 14.3 ms avg latency, 94.0 ms max latency.
844 records sent, 168.6 records/sec (1.65 MB/sec), 11.8 ms avg latency, 155.0 ms max latency.
836 records sent, 167.0 records/sec (1.63 MB/sec), 10.3 ms avg latency, 45.0 ms max latency.
837 records sent, 167.2 records/sec (1.63 MB/sec), 8.6 ms avg latency, 22.0 ms max latency.
835 records sent, 166.9 records/sec (1.63 MB/sec), 9.9 ms avg latency, 58.0 ms max latency.
835 records sent, 166.6 records/sec (1.63 MB/sec), 8.6 ms avg latency, 39.0 ms max latency.
839 records sent, 167.6 records/sec (1.64 MB/sec), 10.1 ms avg latency, 95.0 ms max latency.
835 records sent, 166.9 records/sec (1.63 MB/sec), 9.2 ms avg latency, 51.0 ms max latency.
16667 records sent, 166.930411 records/sec (1.63 MB/sec), 1642.52 ms avg latency, 9824.00 ms max latency, 11 ms 50th, 8641 ms 95th, 9451 ms 99th, 9712 ms 99.9th.
