producer_index=6
producer_count=12
producer_records=8333
producer_throughput=83
[2026-04-24 23:25:29,970] WARN [Producer clientId=perf-producer-client] Bootstrap broker 10.20.1.91:9094 (id: -3 rack: null) disconnected (org.apache.kafka.clients.NetworkClient)
1 records sent, 0.1 records/sec (0.00 MB/sec), 16905.0 ms avg latency, 16905.0 ms max latency.
1826 records sent, 364.8 records/sec (0.36 MB/sec), 3743.9 ms avg latency, 5720.0 ms max latency.
420 records sent, 83.8 records/sec (0.08 MB/sec), 38.7 ms avg latency, 120.0 ms max latency.
417 records sent, 83.3 records/sec (0.08 MB/sec), 23.6 ms avg latency, 91.0 ms max latency.
415 records sent, 83.0 records/sec (0.08 MB/sec), 17.7 ms avg latency, 77.0 ms max latency.
413 records sent, 82.4 records/sec (0.08 MB/sec), 16.6 ms avg latency, 71.0 ms max latency.
420 records sent, 83.7 records/sec (0.08 MB/sec), 15.5 ms avg latency, 72.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 15.6 ms avg latency, 77.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 15.2 ms avg latency, 56.0 ms max latency.
413 records sent, 82.6 records/sec (0.08 MB/sec), 14.8 ms avg latency, 80.0 ms max latency.
419 records sent, 83.6 records/sec (0.08 MB/sec), 15.0 ms avg latency, 74.0 ms max latency.
416 records sent, 83.1 records/sec (0.08 MB/sec), 14.7 ms avg latency, 84.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 15.5 ms avg latency, 130.0 ms max latency.
414 records sent, 82.8 records/sec (0.08 MB/sec), 14.8 ms avg latency, 61.0 ms max latency.
416 records sent, 83.2 records/sec (0.08 MB/sec), 14.1 ms avg latency, 86.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 12.8 ms avg latency, 47.0 ms max latency.
416 records sent, 83.0 records/sec (0.08 MB/sec), 13.1 ms avg latency, 62.0 ms max latency.
8333 records sent, 82.779516 records/sec (0.08 MB/sec), 835.73 ms avg latency, 16905.00 ms max latency, 15 ms 50th, 4673 ms 95th, 5516 ms 99th, 5720 ms 99.9th.
