4998 records sent, 998.8 records/sec (0.98 MB/sec), 11.4 ms avg latency, 527.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 6.3 ms avg latency, 25.0 ms max latency.
5005 records sent, 1000.6 records/sec (0.98 MB/sec), 6.1 ms avg latency, 28.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 5.9 ms avg latency, 28.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 5.8 ms avg latency, 25.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 5.7 ms avg latency, 22.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 5.8 ms avg latency, 14.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 5.8 ms avg latency, 17.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.8 ms avg latency, 31.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 5.4 ms avg latency, 17.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 5.4 ms avg latency, 29.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 5.3 ms avg latency, 19.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 5.3 ms avg latency, 12.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 5.4 ms avg latency, 15.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 5.6 ms avg latency, 43.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 5.3 ms avg latency, 13.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 5.3 ms avg latency, 17.0 ms max latency.
5001 records sent, 999.8 records/sec (0.98 MB/sec), 5.3 ms avg latency, 12.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 5.3 ms avg latency, 13.0 ms max latency.
100000 records sent, 999.710084 records/sec (0.98 MB/sec), 5.91 ms avg latency, 527.00 ms max latency, 6 ms 50th, 9 ms 95th, 14 ms 99th, 67 ms 99.9th.
