producer_index=1
producer_count=12
producer_records=8334
producer_throughput=84
1 records sent, 0.1 records/sec (0.01 MB/sec), 9338.0 ms avg latency, 9338.0 ms max latency.
251 records sent, 49.9 records/sec (4.88 MB/sec), 1660.1 ms avg latency, 2184.0 ms max latency.
354 records sent, 70.0 records/sec (6.83 MB/sec), 1013.9 ms avg latency, 2276.0 ms max latency.
342 records sent, 67.5 records/sec (6.59 MB/sec), 324.8 ms avg latency, 1721.0 ms max latency.
360 records sent, 71.6 records/sec (7.00 MB/sec), 99.8 ms avg latency, 316.0 ms max latency.
445 records sent, 88.7 records/sec (8.66 MB/sec), 91.6 ms avg latency, 411.0 ms max latency.
387 records sent, 77.3 records/sec (7.55 MB/sec), 39.6 ms avg latency, 143.0 ms max latency.
356 records sent, 70.9 records/sec (6.92 MB/sec), 31.9 ms avg latency, 140.0 ms max latency.
325 records sent, 64.9 records/sec (6.33 MB/sec), 29.9 ms avg latency, 153.0 ms max latency.
342 records sent, 68.2 records/sec (6.66 MB/sec), 36.6 ms avg latency, 183.0 ms max latency.
348 records sent, 69.2 records/sec (6.76 MB/sec), 39.6 ms avg latency, 140.0 ms max latency.
337 records sent, 66.6 records/sec (6.50 MB/sec), 28.8 ms avg latency, 92.0 ms max latency.
356 records sent, 71.2 records/sec (6.95 MB/sec), 33.8 ms avg latency, 143.0 ms max latency.
394 records sent, 78.5 records/sec (7.66 MB/sec), 47.2 ms avg latency, 329.0 ms max latency.
337 records sent, 67.2 records/sec (6.56 MB/sec), 31.2 ms avg latency, 167.0 ms max latency.
363 records sent, 71.9 records/sec (7.02 MB/sec), 53.9 ms avg latency, 458.0 ms max latency.
375 records sent, 74.9 records/sec (7.32 MB/sec), 50.5 ms avg latency, 332.0 ms max latency.
321 records sent, 64.1 records/sec (6.26 MB/sec), 28.5 ms avg latency, 99.0 ms max latency.
323 records sent, 64.6 records/sec (6.31 MB/sec), 27.3 ms avg latency, 96.0 ms max latency.
463 records sent, 91.3 records/sec (8.92 MB/sec), 85.7 ms avg latency, 401.0 ms max latency.
381 records sent, 76.0 records/sec (7.42 MB/sec), 40.4 ms avg latency, 204.0 ms max latency.
346 records sent, 69.1 records/sec (6.75 MB/sec), 29.2 ms avg latency, 118.0 ms max latency.
353 records sent, 69.8 records/sec (6.81 MB/sec), 28.4 ms avg latency, 99.0 ms max latency.
453 records sent, 89.8 records/sec (8.77 MB/sec), 21.2 ms avg latency, 93.0 ms max latency.
8334 records sent, 66.248539 records/sec (6.47 MB/sec), 147.55 ms avg latency, 9338.00 ms max latency, 33 ms 50th, 1144 ms 95th, 1834 ms 99th, 2116 ms 99.9th.
