run_id=plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-complz4-trial3
producer_count=1
----- /var/lib/kafka-client/results/plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch65536-acks1-prod1-complz4-trial3/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4997 records sent, 998.2 records/sec (0.97 MB/sec), 7.3 ms avg latency, 533.0 ms max latency.
5006 records sent, 1000.8 records/sec (0.98 MB/sec), 4.3 ms avg latency, 19.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 10.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 4.1 ms avg latency, 10.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 4.1 ms avg latency, 10.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 10.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 4.1 ms avg latency, 9.0 ms max latency.
5007 records sent, 1000.6 records/sec (0.98 MB/sec), 4.0 ms avg latency, 10.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 14.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 4.0 ms avg latency, 9.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 11.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 11.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 4.1 ms avg latency, 14.0 ms max latency.
5007 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 10.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 4.1 ms avg latency, 9.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 4.1 ms avg latency, 11.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 4.1 ms avg latency, 22.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 8.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 8.0 ms max latency.
100000 records sent, 999.730073 records/sec (0.98 MB/sec), 4.24 ms avg latency, 533.00 ms max latency, 4 ms 50th, 7 ms 95th, 8 ms 99th, 42 ms 99.9th.
