producer_index=4
producer_count=12
producer_records=8334
producer_throughput=834
1 records sent, 0.1 records/sec (0.01 MB/sec), 7123.0 ms avg latency, 7123.0 ms max latency.
357 records sent, 69.8 records/sec (6.81 MB/sec), 511.0 ms avg latency, 1298.0 ms max latency.
352 records sent, 70.0 records/sec (6.84 MB/sec), 105.6 ms avg latency, 371.0 ms max latency.
407 records sent, 81.3 records/sec (7.94 MB/sec), 60.2 ms avg latency, 155.0 ms max latency.
484 records sent, 96.4 records/sec (9.42 MB/sec), 26.5 ms avg latency, 105.0 ms max latency.
505 records sent, 101.0 records/sec (9.86 MB/sec), 19.3 ms avg latency, 90.0 ms max latency.
460 records sent, 92.0 records/sec (8.98 MB/sec), 21.0 ms avg latency, 82.0 ms max latency.
455 records sent, 90.9 records/sec (8.88 MB/sec), 22.6 ms avg latency, 71.0 ms max latency.
431 records sent, 86.2 records/sec (8.42 MB/sec), 20.8 ms avg latency, 68.0 ms max latency.
457 records sent, 90.9 records/sec (8.88 MB/sec), 23.0 ms avg latency, 87.0 ms max latency.
447 records sent, 88.8 records/sec (8.67 MB/sec), 20.4 ms avg latency, 63.0 ms max latency.
456 records sent, 91.0 records/sec (8.88 MB/sec), 22.3 ms avg latency, 79.0 ms max latency.
437 records sent, 87.4 records/sec (8.53 MB/sec), 22.7 ms avg latency, 148.0 ms max latency.
463 records sent, 92.5 records/sec (9.04 MB/sec), 57.3 ms avg latency, 286.0 ms max latency.
442 records sent, 88.1 records/sec (8.60 MB/sec), 19.5 ms avg latency, 96.0 ms max latency.
467 records sent, 93.1 records/sec (9.10 MB/sec), 19.1 ms avg latency, 78.0 ms max latency.
471 records sent, 93.5 records/sec (9.14 MB/sec), 18.9 ms avg latency, 95.0 ms max latency.
450 records sent, 90.0 records/sec (8.79 MB/sec), 19.3 ms avg latency, 76.0 ms max latency.
487 records sent, 97.3 records/sec (9.51 MB/sec), 17.8 ms avg latency, 51.0 ms max latency.
8334 records sent, 82.285105 records/sec (8.04 MB/sec), 50.14 ms avg latency, 7123.00 ms max latency, 20 ms 50th, 146 ms 95th, 769 ms 99th, 1103 ms 99.9th.
