security_mode,matched_rows,throughput_records_per_sec_pct_vs_plaintext_mean,throughput_mb_per_sec_pct_vs_plaintext_mean,avg_latency_ms_pct_vs_plaintext_mean,max_latency_ms_pct_vs_plaintext_mean,producer_throughput_records_per_sec_min_pct_vs_plaintext_mean,producer_throughput_records_per_sec_max_pct_vs_plaintext_mean,producer_avg_latency_ms_min_pct_vs_plaintext_mean,producer_avg_latency_ms_max_pct_vs_plaintext_mean,interval_avg_latency_ms_p95_pct_vs_plaintext_mean,interval_avg_latency_ms_p99_pct_vs_plaintext_mean,interval_max_latency_ms_p95_pct_vs_plaintext_mean,interval_max_latency_ms_p99_pct_vs_plaintext_mean,benchmark_client_cpu_percent_mean_pct_vs_plaintext_mean,broker_cpu_percent_mean_pct_vs_plaintext_mean,broker_cpu_percent_max_mean_pct_vs_plaintext_mean,benchmark_client_memory_used_percent_mean_pct_vs_plaintext_mean,broker_memory_used_percent_mean_pct_vs_plaintext_mean,benchmark_client_network_rx_bytes_delta_pct_vs_plaintext_mean,benchmark_client_network_tx_bytes_delta_pct_vs_plaintext_mean,broker_network_rx_bytes_delta_mean_pct_vs_plaintext_mean,broker_network_tx_bytes_delta_mean_pct_vs_plaintext_mean,broker_network_rx_bytes_delta_total_pct_vs_plaintext_mean,broker_network_tx_bytes_delta_total_pct_vs_plaintext_mean,benchmark_client_disk_read_sectors_delta_pct_vs_plaintext_mean,benchmark_client_disk_write_sectors_delta_pct_vs_plaintext_mean,broker_disk_read_sectors_delta_mean_pct_vs_plaintext_mean,broker_disk_write_sectors_delta_mean_pct_vs_plaintext_mean,broker_disk_read_sectors_delta_total_pct_vs_plaintext_mean,broker_disk_write_sectors_delta_total_pct_vs_plaintext_mean
tls,1,-0.002,0.000,71.852,105.622,-0.002,-0.002,71.852,71.852,135.135,495.677,93.146,105.233,27.026,191.916,120.665,-0.970,-44.979,37.554,3.507,2.482,2.813,2.482,2.813,,-57.407,,0.762,,0.762
mtls,1,-0.017,0.000,113.086,135.542,-0.017,-0.017,113.086,113.086,213.514,829.683,116.355,134.943,29.673,187.468,95.578,-2.518,-45.120,38.784,3.551,2.509,2.846,2.509,2.846,,-58.675,,-3.312,,-3.312
