producer_index=5
producer_count=6
producer_records=16666
producer_throughput=166
1 records sent, 0.2 records/sec (0.00 MB/sec), 4977.0 ms avg latency, 4977.0 ms max latency.
886 records sent, 176.8 records/sec (1.73 MB/sec), 2386.5 ms avg latency, 3465.0 ms max latency.
1621 records sent, 323.4 records/sec (3.16 MB/sec), 1656.5 ms avg latency, 3640.0 ms max latency.
837 records sent, 167.4 records/sec (1.63 MB/sec), 15.4 ms avg latency, 87.0 ms max latency.
828 records sent, 165.4 records/sec (1.62 MB/sec), 18.0 ms avg latency, 114.0 ms max latency.
833 records sent, 166.3 records/sec (1.62 MB/sec), 15.9 ms avg latency, 83.0 ms max latency.
834 records sent, 166.6 records/sec (1.63 MB/sec), 13.8 ms avg latency, 57.0 ms max latency.
833 records sent, 166.5 records/sec (1.63 MB/sec), 13.6 ms avg latency, 63.0 ms max latency.
830 records sent, 165.7 records/sec (1.62 MB/sec), 12.1 ms avg latency, 80.0 ms max latency.
832 records sent, 166.3 records/sec (1.62 MB/sec), 15.4 ms avg latency, 94.0 ms max latency.
831 records sent, 166.1 records/sec (1.62 MB/sec), 14.7 ms avg latency, 96.0 ms max latency.
831 records sent, 166.1 records/sec (1.62 MB/sec), 11.3 ms avg latency, 74.0 ms max latency.
831 records sent, 166.0 records/sec (1.62 MB/sec), 9.7 ms avg latency, 81.0 ms max latency.
829 records sent, 165.5 records/sec (1.62 MB/sec), 9.9 ms avg latency, 84.0 ms max latency.
838 records sent, 167.4 records/sec (1.63 MB/sec), 9.2 ms avg latency, 99.0 ms max latency.
831 records sent, 166.1 records/sec (1.62 MB/sec), 7.0 ms avg latency, 39.0 ms max latency.
831 records sent, 166.2 records/sec (1.62 MB/sec), 9.0 ms avg latency, 107.0 ms max latency.
831 records sent, 166.0 records/sec (1.62 MB/sec), 7.6 ms avg latency, 65.0 ms max latency.
831 records sent, 166.1 records/sec (1.62 MB/sec), 6.9 ms avg latency, 29.0 ms max latency.
831 records sent, 166.1 records/sec (1.62 MB/sec), 6.8 ms avg latency, 44.0 ms max latency.
16666 records sent, 165.949735 records/sec (1.62 MB/sec), 298.10 ms avg latency, 4977.00 ms max latency, 9 ms 50th, 2796 ms 95th, 3442 ms 99th, 3571 ms 99.9th.
